id,word,phonetic,level,category,pos,meaning,example,status
1,abandon,/əˈbændən/,CET6,General,verb,放弃,He abandoned the plan.,new
2,ability,/əˈbɪləti/,CET4,General,noun,能力,She has great ability.,new
3,absolute,/ˈæbsəluːt/,IELTS,General,adjective,绝对的,Nothing is absolute.,new
4,absorb,/əbˈzɔːrb/,IELTS,General,verb,吸收,Plants absorb water.,new
5,academic,/ˌækəˈdemɪk/,IELTS,Education,adjective,学术的,Academic writing is important.,new
6,access,/ˈækses/,CET6,General,noun,进入机会,Students have free access.,new
7,accompany,/əˈkʌmpəni/,CET6,General,verb,陪伴,I accompanied my friend.,new
8,accurate,/ˈækjərət/,IELTS,General,adjective,准确的,The answer is accurate.,new
9,achieve,/əˈtʃiːv/,CET4,General,verb,实现,You can achieve success.,new
10,acquire,/əˈkwaɪər/,IELTS,General,verb,获得,He acquired experience.,new
